ComponentType,Manufacturer,Model,PartNumber,SerialNumber,TMS System Type Description,E.164 Alias,TMS System Name,MasterSerialNumber,System Type,Cart Type,Unique ID,Facility,MEDICAL CENTER,IFCAPPONumber,POC,IP Address,Visn
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN40D00275,TANDBERG Codec C20,9505628,V17.NTX.TMD.BON.b24.r1A100.DOMCRM,F1AN40D00275,Room Based Video Conferencing System,Room Based Videoconferencing System,14999,671,VA NORTH TEXAS HCS/VAMC,671-A10828,"Justiniano C, Alan",10.138.35.200,17
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN40D00279,TANDBERG Codec C20,9502103,V06.ASH.DPT.Imaging.CR.1D145,F1AN40D00279,Room Based Video Conferencing System,Room Based Videoconferencing System,8324,637,ASHEVILLE VA MEDICAL CENTER,483-A10080,,10.50.186.21,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN40D00281,TANDBERG Codec C20,9524627,V16.HOU.TMD.OPC.Tomball210,F1AN40D00281,Room Based Video Conferencing System,Room Based Videoconferencing System,14125,580,Michael E. DeBakey VA Medical Center - Houston,586-A10964,,10.133.3.243,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN40D00314,TANDBERG Codec C20,9503515,V09.MOU.PCC.160.P263.PrimaryCareGroup,F1AN40D00314,Room Based Video Conferencing System,Room Based Videoconferencing System,11800,621,V09.MOU.PCCM.160.P263.PrimaryCareGroup,,"Sadler G, Charles",10.72.215.44,9
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN40D00466,TANDBERG Codec C20,9503403,V09.MOU.CBOC.MOR.123.ConfRm,F1AN40D00466,Room Based Video Conferencing System,Room Based Videoconferencing System,3624,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,"Sieber, Robert",10.72.186.27,9
Main codec camera,,Camera,,A1AT42D00267,,,,F1AN40D00466,Room Based Video Conferencing System,Room Based Videoconferencing System,,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,,,9
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN40D00545,TANDBERG Codec C20,9501303,V04.WBP.CBOC.ALLENTOWN.CRM,F1AN40D00545,Room Based Video Conferencing System,Room Based Videoconferencing System,8551,693,Wilkes-Barre VA Medical Center,529-C15222,,10.38.110.82,4
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN40E00050,TANDBERG Codec C20,9502162,V06.FNC.DPT.TELE.CR.B4.R120,F1AN40E00050,Room Based Video Conferencing System,Room Based Videoconferencing System,9606,565,V06.FNC.TELE.CR.B4.R120,,,10.51.138.92,6
"Codec, Hardware",Cisco,,,F1AN41D00109,TANDBERG Codec C20,9506630,V19.GRJ.CRM.RM4402,F1AN41D00109,Room Based Video Conferencing System,Room Based Videoconferencing System,23036,575,V19.GRJ.CRM.Rm4402,,,10.155.130.107,19
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00157,TANDBERG Codec C20,9506669,V19.SHE.CRM.RIV.Rmconf,F1AN41D00157,Room Based Video Conferencing System,Room Based Videoconferencing System,351,666,V19.RIV.CRM.Rmconf,,,10.152.233.227,19
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00194,TANDBERG Codec C20,9502053,V06.FNC.MHS.B48.R106,F1AN41D00194,Room Based Video Conferencing System,Room Based Videoconferencing System,10966,658,,,,10.51.138.152,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00223,,,,F1AN41D00223,Room Based Video Conferencing System,Room Based Videoconferencing System,,,,,,,
Main codec camera,,Camera,,A1AB11C00311,,,,F1AN41D00223,Room Based Video Conferencing System,Room Based Videoconferencing System,,,,,,,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00229,TANDBERG Codec C20,9503750,V10.COS.TMH.Marion.b1.r204,F1AN41D00229,Room Based Video Conferencing System,Room Based Videoconferencing System,4494,757,Columbus VA Medical Center (OHIO),101-A00036,,10.81.154.226,10
Main codec camera,,Camera,,A1AT38D00291,,,,F1AN41D00229,Room Based Video Conferencing System,Room Based Videoconferencing System,,757,Columbus VA Medical Center (OHIO),101-A00036,,,10
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00478,TANDBERG Codec C20,9502107,V06.ASH.MBL.GTH.MOBILE5,F1AN41D00478,Room Based Video Conferencing System,Room Based Videoconferencing System,8335,637,ASHEVILLE VA MEDICAL CENTER,483-A10080,,10.50.186.25,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00572,,,,F1AN41D00572,Room Based Video Conferencing System,Room Based Videoconferencing System,,,,,,,
Main codec camera,,Camera,,A1AB45D00243,,,,F1AN41D00572,Room Based Video Conferencing System,Room Based Videoconferencing System,,,,,,,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00573,TANDBERG Codec C20,9506672,V19.SHE.MHS.Rm105,F1AN41D00573,Room Based Video Conferencing System,Room Based Videoconferencing System,9973,666,V19.SHE.MHS.Rm105,,,10.152.182.3,19
C-Series Codec,Cisco,C-40,CTS-INTP-C40-K9,F1AN41D00574,TANDBERG Codec C20,9546102,V04.COA.CRM.B1R.G22,F1AN41D00574,Room Based Video Conferencing System,Room Based Videoconferencing System,16386,542,COP INVENTORY - SHIPPED TO COATESVILLE --- IB CASE# 238407,101-C17380,,10.34.121.46,4
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00592,TANDBERG Codec C20,9510245,V18.ABQ.CRM.DURANGO,F1AN41D00592,Room Based Video Conferencing System,Room Based Videoconferencing System,19475,501,V18.ABQ.CRM.DURANGO,,"Ashe E, Robert",10.144.152.121,18
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00600,,,,F1AN41D00600,Room Based Video Conferencing System,Room Based Videoconferencing System,,554,V19.COS.CRM.Rm310,,,,19
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00604,TANDBERG Codec C20,9506448,V19.DEN.DPT.SCN.Rm1D111,F1AN41D00604,Room Based Video Conferencing System,Room Based Videoconferencing System,11383,554,V19.DEN.SCN.Rm1D111,,,10.153.99.151,19
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00628,TANDBERG Codec C20,9512371,V19.DEN.CRM.MT.203,F1AN41D00628,Room Based Video Conferencing System,Room Based Videoconferencing System,19155,554,V19.DEN.MT.RM.203,,,10.153.110.12,19
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00629,TANDBERG Codec C20,9501152,V03.LYN.CRM.B7RM104,F1AN41D00629,Room Based Video Conferencing System,Room Based Videoconferencing System,13212,561,V03.LYN.VISOR.V7-RM104,,,10.25.122.46,3
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00646,TANDBERG Codec C20,9512767,V19.GRJ.CRM.Rm6000,F1AN41D00646,Room Based Video Conferencing System,Room Based Videoconferencing System,15448,575,V19.GRJ.CRM.RM6000,,,10.155.130.41,19
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00673,TANDBERG Codec C20,9530033,V06.SBY.MHS.RM1062.B4,F1AN41D00673,Room Based Video Conferencing System,Room Based Videoconferencing System,10782,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.51.105.153,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00679,TANDBERG Codec C20,9530035,V06.SBY.MHS.RM1066.B4,F1AN41D00679,Room Based Video Conferencing System,Room Based Videoconferencing System,10798,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.51.105.149,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00685,TANDBERG Codec C20,9530052,V06.SBY.DPT.HCC.KRN.RM1706,F1AN41D00685,Room Based Video Conferencing System,Room Based Videoconferencing System,9933,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.54.106.73,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00686,TANDBERG Codec C20,9530041,V06.SBY.DPT.HCC.CLT.EYC.B1.RM3E17,F1AN41D00686,Room Based Video Conferencing System,Room Based Videoconferencing System,31484,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.54.183.105,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00687,TANDBERG Codec C20,9530031,V06.SBY.GEC.MOBILE,F1AN41D00687,Room Based Video Conferencing System,Room Based Videoconferencing System,7550,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.51.105.25,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00688,TANDBERG Codec C20,9524618,V16.HOU.TMD.2C108,F1AN41D00688,Room Based Video Conferencing System,Room Based Videoconferencing System,27623,580,Michael E. DeBakey VA Medical Center - Houston,586-A10964,,10.133.4.107,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00692,,,,F1AN41D00692,Room Based Video Conferencing System,Room Based Videoconferencing System,,688,V05.WAS.ADM.3B203A,,,,5
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00693,TANDBERG Codec C20,9502104,V06.ASH.MHS,F1AN41D00693,Room Based Video Conferencing System,Room Based Videoconferencing System,8326,637,ASHEVILLE VA MEDICAL CENTER,483-A10080,,10.50.186.22,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00705,TANDBERG Codec C20,9502113,V06.BEC.TMD.PC.CRM,F1AN41D00705,Room Based Video Conferencing System,Room Based Videoconferencing System,9063,517,Beckley VA Medical Center,483-A10085,,10.50.74.59,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00707,TANDBERG Codec C20,9505660,V17.NTX.TMH.DNT.CBOC.RMSMALL,F1AN41D00707,Room Based Video Conferencing System,Room Based Videoconferencing System,21836,671,VA NORTH TEXAS HCS/VAMC,671-A10828,"Justiniano C, Alan",10.138.99.26,17
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00710,TANDBERG Codec C20,9530242,V06.HAM.PHR.B110B.RGC100,F1AN41D00710,Room Based Video Conferencing System,Room Based Videoconferencing System,28683,590,HAMPTON VA MEDICAL CENTER,483-A10082,,10.48.60.33,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00714,TANDBERG Codec C20,9502009,V06.HAM.MHS.B137.R105,F1AN41D00714,Room Based Video Conferencing System,Room Based Videoconferencing System,9305,590,HAMPTON VA MEDICAL CENTER,483-A10082,,10.48.60.18,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00715,TANDBERG Codec C20,9530173,V06.SBY.SCI.SALISBURY.1019B7,F1AN41D00715,Room Based Video Conferencing System,Room Based Videoconferencing System,1385,659,SALISBURY VA MEDICAL CENTER,483-A10084,"Dickerson0, Lyn",10.51.105.22,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00717,TANDBERG Codec C20,9502185,V06.HAM.CBOC.VABCH.GTH.RM138,F1AN41D00717,Room Based Video Conferencing System,Room Based Videoconferencing System,8270,590,HAMPTON VA MEDICAL CENTER,483-A10082,,10.48.24.232,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00723,TANDBERG Codec C20,9524625,V16.HOU.EDU.1A375,F1AN41D00723,Room Based Video Conferencing System,Room Based Videoconferencing System,14039,580,Michael E. DeBakey VA Medical Center - Houston,586-A10964,,10.133.4.61,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00725,,,,F1AN41D00725,Room Based Video Conferencing System,Room Based Videoconferencing System,,586,G.V. (Sonny) Montgomery VA Medical Center,586-A10964,,,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00726,TANDBERG Codec C20,9530042,V06.SBY.MHS.SARRTP.B4,F1AN41D00726,Room Based Video Conferencing System,Room Based Videoconferencing System,8511,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.51.105.151,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00727,TANDBERG Codec C20,9502096,V06.SAM.CBOC.LYN.TMH.LC16,F1AN41D00727,Room Based Video Conferencing System,Room Based Videoconferencing System,8126,658,SALEM VA MEDICAL CENTER,483-A10083,,10.49.228.168,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00728,,,,F1AN41D00728,Room Based Video Conferencing System,Room Based Videoconferencing System,,580,Michael E. DeBakey VA Medical Center - Houston,586-A10964,,,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00729,TANDBERG Codec C20,9530036,V06.SBY.CBOC.CLT.IOP.MHS.RM495,F1AN41D00729,Room Based Video Conferencing System,Room Based Videoconferencing System,8250,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.51.105.42,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00733,TANDBERG Codec C20,9502180,V06.HAM.MHS.B138B.RmBG02,F1AN41D00733,Room Based Video Conferencing System,Room Based Videoconferencing System,8014,590,HAMPTON VA MEDICAL CENTER,483-A10082,,10.48.60.37,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00734,TANDBERG Codec C20,9530039,V06.SBY.CBOC.WS.MHS.R247,F1AN41D00734,Room Based Video Conferencing System,Room Based Videoconferencing System,8411,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.51.32.173,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00737,TANDBERG Codec C20,9502181,V06.HAM.PCC.B110B.PRIME4,F1AN41D00737,Room Based Video Conferencing System,Room Based Videoconferencing System,10253,590,HAMPTON VA MEDICAL CENTER,483-A10082,,10.48.60.39,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00741,TANDBERG Codec C20,9502179,V06.HAM.NTH.B116.Rm102,F1AN41D00741,Room Based Video Conferencing System,Room Based Videoconferencing System,8084,590,HAMPTON VA MEDICAL CENTER,483-A10082,,10.48.60.30,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00742,TANDBERG Codec C20,9502186,V06.HAM.MHS.OEFOIF.B14.RmA14,F1AN41D00742,Room Based Video Conferencing System,Room Based Videoconferencing System,7950,590,HAMPTON VA MEDICAL CENTER,483-A10082,,10.48.60.31,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00743,TANDBERG Codec C20,9502204,V06.RIC.DPT.VISOR.5D141,F1AN41D00743,Room Based Video Conferencing System,Room Based Videoconferencing System,10616,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.198,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00745,TANDBERG Codec C20,9502206,V06.RIC.CBOC.FRE1.GTH.RM105,F1AN41D00745,Room Based Video Conferencing System,Room Based Videoconferencing System,10618,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.111,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00751,TANDBERG Codec C20,9502201,V06.RIC.MHS.1D113.CR,F1AN41D00751,Room Based Video Conferencing System,Room Based Videoconferencing System,10613,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.195,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00756,,,,F1AN41D00756,Room Based Video Conferencing System,Room Based Videoconferencing System,,580,Michael E. DeBakey VA Medical Center - Houston,586-A10964,,,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00762,TANDBERG Codec C20,9524637,V16.HOU.IFD.6B314.Steinberg.HIV,F1AN41D00762,Room Based Video Conferencing System,Room Based Videoconferencing System,14463,580,Michael E. DeBakey VA Medical Center - Houston,586-A10964,,10.133.4.80,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00765,TANDBERG Codec C20,9503263,V09.LEX.DPT.CD.PMRS.D218,F1AN41D00765,Room Based Video Conferencing System,Room Based Videoconferencing System,1760,596,,,"Williams J., Larry",10.74.46.14,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00769,TANDBERG Codec C20,9502108,V06.ASH.CBOC.FRNK.GTH.CRM,F1AN41D00769,Room Based Video Conferencing System,Room Based Videoconferencing System,8340,637,ASHEVILLE VA MEDICAL CENTER,483-A10080,,10.50.194.35,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00785,TANDBERG Codec C20,9503656,V10.CIN.TMD.Dearborn.b710.r112,F1AN41D00785,Room Based Video Conferencing System,Room Based Videoconferencing System,7584,539,,,,10.80.100.6,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00793,,,,F1AN41D00793,Room Based Video Conferencing System,Room Based Videoconferencing System,,,,,,,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00804,TANDBERG Codec C20,9503653,V10.CIN.TMD.Cincinnati.b1.rA554,F1AN41D00804,Room Based Video Conferencing System,Room Based Videoconferencing System,4567,539,V10.CIN.TMD.Cincinnati.b1.rA554,,,10.80.25.16,10
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00824,,,,F1AN41D00824,Room Based Video Conferencing System,Room Based Videoconferencing System,,,,,,,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00829,TANDBERG Codec C20,9503665,V10.CIN.TMD.Cincinnati.b1.rA215a,F1AN41D00829,Room Based Video Conferencing System,Room Based Videoconferencing System,11112,539,,,,10.80.25.19,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00834,TANDBERG Codec C20,9536010,V09.HUN.OPC.LEN.CRM.1005,F1AN41D00834,Room Based Video Conferencing System,Room Based Videoconferencing System,8298,581,,,"Stevens M, Brian",10.73.249.5,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00838,TANDBERG Codec C20,9503735,V10.CLE.TMD.Painesville.b1.r108,F1AN41D00838,Room Based Video Conferencing System,Room Based Videoconferencing System,4646,541,,,,10.83.116.250,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00840,TANDBERG Codec C20,9524636,V16.HOU.TMD.OPC.Beaumont320,F1AN41D00840,Room Based Video Conferencing System,Room Based Videoconferencing System,14480,580,Michael E. DeBakey VA Medical Center - Houston,586-A10964,,10.133.4.151,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00843,TANDBERG Codec C20,9502198,V06.RIC.SCI.1U154,F1AN41D00843,Room Based Video Conferencing System,Room Based Videoconferencing System,10609,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.191,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00859,,,,F1AN41D00859,Room Based Video Conferencing System,Room Based Videoconferencing System,,561,V03.EAS.AUT.3101,,,,3
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00865,TANDBERG Codec C20,9519007,V22.SDC.MBL.B1000,F1AN41D00865,Room Based Video Conferencing System,Room Based Videoconferencing System,30946,664,,,,10.178.238.16,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00869,TANDBERG Codec C20,9536520,V09.TVH.TMH.COOKE.BLDG851rm107,F1AN41D00869,Room Based Video Conferencing System,Room Based Videoconferencing System,10510,626,MURFREESBORO VA MED CENTER,626-A19186,"Dickens N, Holly",10.78.90.201,9
Main codec camera,,Camera,,A1AT45D00090,,,,F1AN41D00869,Room Based Video Conferencing System,Room Based Videoconferencing System,,626,MURFREESBORO VA MED CENTER,626-A19186,,,9
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00883,TANDBERG Codec C20,9503498,V09.TVH.TMH.COL.CBOCrmA133,F1AN41D00883,Room Based Video Conferencing System,Room Based Videoconferencing System,10418,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.238.223,9
Main codec camera,,Camera,,A1AT45D00024,,,,F1AN41D00883,Room Based Video Conferencing System,Room Based Videoconferencing System,,626,MURFREESBORO VA MED CENTER,626-A19186,,,9
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN41D00939,TANDBERG Codec C20,9503269,V09.LEX.PCC.LD.16.270,F1AN41D00939,Room Based Video Conferencing System,Room Based Videoconferencing System,5235,596,,,,10.74.231.24,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42B00028,,,,F1AN42B00028,Room Based Video Conferencing System,Room Based Videoconferencing System,,,,,,,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42C00377,TANDBERG Codec C20,9530237,V06.SBY.GEC.RMBC138.B42,F1AN42C00377,Room Based Video Conferencing System,Room Based Videoconferencing System,18968,659,V06.SBY.GEC.RMBC138.B42,,,10.51.105.101,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00018,TANDBERG Codec C20,9507658,V22.WLA.TMD.LAACC.RMB423,F1AN42D00018,Room Based Video Conferencing System,Room Based Videoconferencing System,10430,691,DEPARTMENT OF VETERANS AFFAIRS - LOS ANGELES,691-A10859,,10.180.120.45,22
Main codec camera,,Camera,,A1AT48D00137,,,,F1AN42D00018,Room Based Video Conferencing System,Room Based Videoconferencing System,,691,DEPARTMENT OF VETERANS AFFAIRS - LOS ANGELES,691-A10859,,,22
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00083,TANDBERG Codec C20,9507789,V22.SDC.ADM.CHULA.VISTA.133,F1AN42D00083,Room Based Video Conferencing System,Room Based Videoconferencing System,29802,664,V22.SDC.ADM.CHULA.VISTA.129,,,10.178.241.16,22
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00096,TANDBERG Codec C20,9518926,V22.SDC.ADM..BLD27.3112A,F1AN42D00096,Room Based Video Conferencing System,Room Based Videoconferencing System,16554,664,V22.SDC.ADM.BB104A,,,10.178.238.92,22
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00105,TANDBERG Codec C20,9507825,V22.LON.TMD.BLIND.REHAB,F1AN42D00105,Room Based Video Conferencing System,Room Based Videoconferencing System,9186,600,,,,10.179.238.110,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00106,,,,F1AN42D00106,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,,16
Main codec camera,,Camera,,A1AT46D00313,,,,F1AN42D00106,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00170,TANDBERG Codec C20,9506313,V18.BIG.CBOC.ABI.CRM.RM161,F1AN42D00170,Room Based Video Conferencing System,Room Based Videoconferencing System,18099,519,Big Spring VAMC,519-A19011,,10.146.156.124,17
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00241,,,,F1AN42D00241,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM,598-C15702,,,16
Main codec camera,,Camera,,A1AT46D00204,,,,F1AN42D00241,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM,598-C15702,,,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00265,TANDBERG Codec C20,9507651,V22.WLA.TMD.SBA.RM212,F1AN42D00265,Room Based Video Conferencing System,Room Based Videoconferencing System,10151,691,DEPARTMENT OF VETERANS AFFAIRS - LOS ANGELES,691-A10859,,10.180.217.210,22
Main codec camera,,Camera,,A1AT48D00358,,,,F1AN42D00265,Room Based Video Conferencing System,Room Based Videoconferencing System,,691,DEPARTMENT OF VETERANS AFFAIRS - LOS ANGELES,691-A10859,,,22
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00374,TANDBERG Codec C20,9524811,V16.JAC.CRM.SilverConfRoom,F1AN42D00374,Room Based Video Conferencing System,Room Based Videoconferencing System,15864,586,G.V. (SONNY) MONTGOMERY VA MEDICAL CENTER,598-C15702,,10.130.13.53,16
Main codec camera,,Camera,,A1AT03E00476,,,,F1AN42D00374,Room Based Video Conferencing System,Room Based Videoconferencing System,,586,G.V. (SONNY) MONTGOMERY VA MEDICAL CENTER,598-C15702,,,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00455,,,,F1AN42D00455,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,JACK C. MONTGOMERY VA MEDICAL CENTER,598-C15702,,,19
Main codec camera,,Camera,,A1AT46D00273,,,,F1AN42D00455,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,JACK C. MONTGOMERY VA MEDICAL CENTER,598-C15702,,,19
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00502,TANDBERG Codec C20,9502106,V06.ASH.MBL.GTH.MOBILE4,F1AN42D00502,Room Based Video Conferencing System,Room Based Videoconferencing System,8331,637,ASHEVILLE VA MEDICAL CENTER,483-A10080,,10.50.186.24,6
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00540,,,,F1AN42D00540,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,,16
Main codec camera,,Camera,,A1AT46D00354,,,,F1AN42D00540,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00546,TANDBERG Codec C20,9524022,V16.ALX.CRM.164,F1AN42D00546,Room Based Video Conferencing System,Room Based Videoconferencing System,12655,667,SHREVEPORT VAMC,598-C15702,,10.129.9.30,16
Main codec camera,,Camera,,A1AT46D00199,,,,F1AN42D00546,Room Based Video Conferencing System,Room Based Videoconferencing System,,667,SHREVEPORT VAMC,598-C15702,,,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00637,,,,F1AN42D00637,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,,16
Main codec camera,,Camera,,A1AT46D00338,,,,F1AN42D00637,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,,16
"Codec, Hardware",Cisco,,,F1AN42D00642,,,,F1AN42D00642,Room Based Video Conferencing System,Room Based Videoconferencing System,,,,,,,
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00676,TANDBERG Codec C20,9525437,V16.NOL.TMD.HOU.EDU.SP153,F1AN42D00676,Room Based Video Conferencing System,Room Based Videoconferencing System,26656,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,10.131.76.20,16
Main codec camera,,Camera,,A1AT46D00274,,,,F1AN42D00676,Room Based Video Conferencing System,Room Based Videoconferencing System,,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,,16
C-Series Codec,Cisco,C-20,CTS-QSC20-K9,F1AN42D00700,TANDBERG Codec C20,9505459,V16.JAC.CNF.307.Chaplain,F1AN42D00700,Room Based Video Conferencing System,Room Based Videoconferencing System,15842,586,G.V. (SONNY) MONTGOMERY VA MEDICAL CENTER,598-C15702,,10.130.100.75,16
Main codec camera,,Camera,,A1AT45D00336,,,,F1AN42D00700,Room Based Video Conferencing System,Room Based Videoconferencing System,,586,G.V. (SONNY) MONTGOMERY VA MEDICAL CENTER,598-C15702,,,16
